slice_num,method,phase,metric,mean,std,count
12,linear,phase_10,psnr,28.663635970852898,4.7168884411736745,282
12,linear,phase_10,ms_ssim,0.8783620557886489,0.06763065275060287,282
12,linear,phase_10,lpips,0.04927726798023738,0.023733074245622383,282
12,linear,phase_20,psnr,26.01730384556114,4.495513191285994,282
12,linear,phase_20,ms_ssim,0.7777619619741507,0.12089874257183268,282
12,linear,phase_20,lpips,0.08034801601386028,0.032218047913796614,282
12,linear,phase_30,psnr,25.88141818756753,4.57948417313263,282
12,linear,phase_30,ms_ssim,0.7801472185351325,0.12013665240813844,282
12,linear,phase_30,lpips,0.0801611662188426,0.03174512866738013,282
12,linear,phase_40,psnr,28.228809958654093,4.80117535189677,282
12,linear,phase_40,ms_ssim,0.8800517492894585,0.07156152117766693,282
12,linear,phase_40,lpips,0.05021001689188869,0.038340831076542285,282
12,spline,phase_10,psnr,29.32072247850134,5.016230113563392,282
12,spline,phase_10,ms_ssim,0.8819137443887427,0.06571254536684233,282
12,spline,phase_10,lpips,0.04290342732854452,0.023236236186003578,282
12,spline,phase_20,psnr,26.183717754715722,4.541292583671186,282
12,spline,phase_20,ms_ssim,0.7791482047409031,0.11991969375310917,282
12,spline,phase_20,lpips,0.07539693906189913,0.030812875336314577,282
12,spline,phase_30,psnr,26.036663251565702,4.584874428073227,282
12,spline,phase_30,ms_ssim,0.7820517124859154,0.11924817298857056,282
12,spline,phase_30,lpips,0.07475101144601268,0.030114040887881336,282
12,spline,phase_40,psnr,28.956012937194068,5.262033171627048,282
12,spline,phase_40,ms_ssim,0.8839312853119897,0.07047760034519186,282
12,spline,phase_40,lpips,0.04331848892574826,0.03856545005851952,282
12,optical_flow,phase_10,psnr,28.03392038615883,5.237461837999833,282
12,optical_flow,phase_10,ms_ssim,0.8730815038190666,0.07184411980452919,282
12,optical_flow,phase_10,lpips,0.05696169117875133,0.03006312653729688,282
12,optical_flow,phase_20,psnr,26.231441234020476,5.11425818950767,282
12,optical_flow,phase_20,ms_ssim,0.7812528982230112,0.11697904237800731,282
12,optical_flow,phase_20,lpips,0.07226049668215057,0.03579389828987419,282
12,optical_flow,phase_30,psnr,25.636668678716564,4.826773922117819,282
12,optical_flow,phase_30,ms_ssim,0.7579391797383627,0.12355539741840571,282
12,optical_flow,phase_30,lpips,0.08015772601232883,0.03765167687180753,282
12,optical_flow,phase_40,psnr,25.753858589956945,4.7172814790359565,282
12,optical_flow,phase_40,ms_ssim,0.7789152276220052,0.11176766814290158,282
12,optical_flow,phase_40,lpips,0.08636110743626635,0.04867510142008922,282
25,linear,phase_10,psnr,28.769026645080782,4.869932081978448,283
25,linear,phase_10,ms_ssim,0.8831092445673454,0.06545857271701642,283
25,linear,phase_10,lpips,0.04751961886744564,0.022570611460572713,283
25,linear,phase_20,psnr,26.24987911251324,4.703736740001424,283
25,linear,phase_20,ms_ssim,0.7811672969757457,0.12052994952637551,283
25,linear,phase_20,lpips,0.07850564302146014,0.03211051231851244,283
25,linear,phase_30,psnr,26.030337431405542,4.421643006055586,283
25,linear,phase_30,ms_ssim,0.7835698365743927,0.11968975447597244,283
25,linear,phase_30,lpips,0.07766768522560596,0.03137330881786142,283
25,linear,phase_40,psnr,28.48495310018425,4.894966575023971,283
25,linear,phase_40,ms_ssim,0.8838013896040697,0.070521048127224,283
25,linear,phase_40,lpips,0.0490458349141131,0.03876934983573952,283
25,spline,phase_10,psnr,29.45900040886006,5.18338105348381,283
25,spline,phase_10,ms_ssim,0.8870903815903006,0.0632179255451525,283
25,spline,phase_10,lpips,0.041259146744694705,0.02176214649521286,283
25,spline,phase_20,psnr,26.432615644097748,4.684479477147316,283
25,spline,phase_20,ms_ssim,0.782959531558276,0.11921468880098872,283
25,spline,phase_20,lpips,0.07362095939239006,0.030484341750695126,283
25,spline,phase_30,psnr,26.228448679084913,4.416079785362286,283
25,spline,phase_30,ms_ssim,0.7856086357743496,0.11864205667611703,283
25,spline,phase_30,lpips,0.07235723390003712,0.029575033907874432,283
25,spline,phase_40,psnr,29.23996660313421,5.264177612535932,283
25,spline,phase_40,ms_ssim,0.887799898537646,0.0692469643213493,283
25,spline,phase_40,lpips,0.042459474251253446,0.038885462976297365,283
25,optical_flow,phase_10,psnr,28.180746590712044,5.597377554626559,283
25,optical_flow,phase_10,ms_ssim,0.8786206064291641,0.0697917219290398,283
25,optical_flow,phase_10,lpips,0.054398546541642806,0.028594840034072838,283
25,optical_flow,phase_20,psnr,26.48217765012815,5.159751363756955,283
25,optical_flow,phase_20,ms_ssim,0.7878569705747462,0.11460019703060076,283
25,optical_flow,phase_20,lpips,0.07026085399696767,0.03450089308507058,283
25,optical_flow,phase_30,psnr,25.820257355383344,4.840133344742587,283
25,optical_flow,phase_30,ms_ssim,0.7641601735206038,0.12164863583503734,283
25,optical_flow,phase_30,lpips,0.07795053876462547,0.036309512815892744,283
25,optical_flow,phase_40,psnr,25.754822830429347,4.799254942372754,283
25,optical_flow,phase_40,ms_ssim,0.7841436525958165,0.11014566395285545,283
25,optical_flow,phase_40,lpips,0.08415892878185313,0.04799704825855716,283
37,linear,phase_10,psnr,28.96009215365029,4.606034811830414,283
37,linear,phase_10,ms_ssim,0.8848349091863463,0.06360511626724732,283
37,linear,phase_10,lpips,0.04548566144900956,0.020954995668063678,283
37,linear,phase_20,psnr,26.195877496429553,4.715706730334994,283
37,linear,phase_20,ms_ssim,0.7791737120058848,0.11966277864089292,283
37,linear,phase_20,lpips,0.0774027580237378,0.031048558620405186,283
