sample_id,slice_num,method,phase,psnr,ms_ssim,lpips
108_HM10395_108_HM10395_S122_0012,12,linear,phase_10,38.6922607421875,0.9794360995292664,0.014217708259820938
108_HM10395_108_HM10395_S122_0012,12,linear,phase_20,32.395118713378906,0.960295557975769,0.02676338143646717
108_HM10395_108_HM10395_S122_0012,12,linear,phase_30,29.951374053955078,0.9595416784286499,0.028505997732281685
108_HM10395_108_HM10395_S122_0012,12,linear,phase_40,33.437679290771484,0.9799678325653076,0.014963820576667786
108_HM10395_108_HM10395_S122_0012,12,spline,phase_10,39.28019714355469,0.979788064956665,0.0099398884922266
108_HM10395_108_HM10395_S122_0012,12,spline,phase_20,33.737850189208984,0.9605228900909424,0.02432376705110073
108_HM10395_108_HM10395_S122_0012,12,spline,phase_30,29.847829818725586,0.9596688747406006,0.026208695024251938
108_HM10395_108_HM10395_S122_0012,12,spline,phase_40,36.410858154296875,0.9807204008102417,0.010128188878297806
108_HM10395_108_HM10395_S122_0012,12,optical_flow,phase_10,33.05025863647461,0.9796743988990784,0.011777088977396488
108_HM10395_108_HM10395_S122_0012,12,optical_flow,phase_20,34.844181060791016,0.9571530818939209,0.016932686790823936
108_HM10395_108_HM10395_S122_0012,12,optical_flow,phase_30,34.90115737915039,0.945003092288971,0.020635807886719704
108_HM10395_108_HM10395_S122_0012,12,optical_flow,phase_40,34.61865234375,0.9424800276756287,0.02503032796084881
108_HM10395_108_HM10395_S122_0025,25,linear,phase_10,39.01898956298828,0.9803813099861145,0.013967602513730526
108_HM10395_108_HM10395_S122_0025,25,linear,phase_20,29.556041717529297,0.9621171951293945,0.02855691686272621
108_HM10395_108_HM10395_S122_0025,25,linear,phase_30,29.269691467285156,0.9608244299888611,0.030088070780038834
108_HM10395_108_HM10395_S122_0025,25,linear,phase_40,38.3641471862793,0.9804753065109253,0.013539507053792477
108_HM10395_108_HM10395_S122_0025,25,spline,phase_10,37.917518615722656,0.9805371761322021,0.009873365983366966
108_HM10395_108_HM10395_S122_0025,25,spline,phase_20,30.35647964477539,0.962432861328125,0.025976158678531647
108_HM10395_108_HM10395_S122_0025,25,spline,phase_30,29.303382873535156,0.9607377052307129,0.027435440570116043
108_HM10395_108_HM10395_S122_0025,25,spline,phase_40,39.498931884765625,0.9809792637825012,0.00887873861938715
108_HM10395_108_HM10395_S122_0025,25,optical_flow,phase_10,36.416099548339844,0.9806524515151978,0.011833004653453827
108_HM10395_108_HM10395_S122_0025,25,optical_flow,phase_20,35.24105453491211,0.9587702751159668,0.017026439309120178
108_HM10395_108_HM10395_S122_0025,25,optical_flow,phase_30,34.773231506347656,0.946135401725769,0.02189480885863304
108_HM10395_108_HM10395_S122_0025,25,optical_flow,phase_40,33.928314208984375,0.9427157640457153,0.026415908709168434
108_HM10395_108_HM10395_S122_0037,37,linear,phase_10,38.97065353393555,0.98194819688797,0.011302505619823933
108_HM10395_108_HM10395_S122_0037,37,linear,phase_20,32.709964752197266,0.9649431109428406,0.022594530135393143
108_HM10395_108_HM10395_S122_0037,37,linear,phase_30,36.10353088378906,0.96408611536026,0.024840863421559334
108_HM10395_108_HM10395_S122_0037,37,linear,phase_40,39.53397750854492,0.981931209564209,0.012044215574860573
108_HM10395_108_HM10395_S122_0037,37,spline,phase_10,37.787078857421875,0.982222855091095,0.00744484830647707
108_HM10395_108_HM10395_S122_0037,37,spline,phase_20,33.503387451171875,0.9653218388557434,0.020643066614866257
108_HM10395_108_HM10395_S122_0037,37,spline,phase_30,36.27168273925781,0.9642021656036377,0.022745028138160706
108_HM10395_108_HM10395_S122_0037,37,spline,phase_40,39.42912292480469,0.9822807312011719,0.007816636934876442
108_HM10395_108_HM10395_S122_0037,37,optical_flow,phase_10,38.13899230957031,0.9817318320274353,0.009266743436455727
108_HM10395_108_HM10395_S122_0037,37,optical_flow,phase_20,33.4063606262207,0.9606146812438965,0.015612326562404633
108_HM10395_108_HM10395_S122_0037,37,optical_flow,phase_30,34.183998107910156,0.949512779712677,0.019435711205005646
108_HM10395_108_HM10395_S122_0037,37,optical_flow,phase_40,34.859989166259766,0.9477120041847229,0.02278299629688263
109_HM10395_109_HM10395_S122_0012,12,linear,phase_10,29.268747329711914,0.8699103593826294,0.061504900455474854
109_HM10395_109_HM10395_S122_0012,12,linear,phase_20,25.907873153686523,0.8160367012023926,0.08854123204946518
109_HM10395_109_HM10395_S122_0012,12,linear,phase_30,26.741416931152344,0.8234836459159851,0.08802332729101181
109_HM10395_109_HM10395_S122_0012,12,linear,phase_40,26.73673439025879,0.8724130392074585,0.056243881583213806
109_HM10395_109_HM10395_S122_0012,12,spline,phase_10,28.69976806640625,0.8696789145469666,0.05499505624175072
109_HM10395_109_HM10395_S122_0012,12,spline,phase_20,26.33820915222168,0.8170856237411499,0.0839272066950798
109_HM10395_109_HM10395_S122_0012,12,spline,phase_30,26.855619430541992,0.8248282670974731,0.08301189541816711
109_HM10395_109_HM10395_S122_0012,12,spline,phase_40,26.650848388671875,0.8740414381027222,0.050757113844156265
109_HM10395_109_HM10395_S122_0012,12,optical_flow,phase_10,28.691509246826172,0.8564677834510803,0.07054280489683151
109_HM10395_109_HM10395_S122_0012,12,optical_flow,phase_20,26.798053741455078,0.7991700768470764,0.08373063057661057
109_HM10395_109_HM10395_S122_0012,12,optical_flow,phase_30,24.280637741088867,0.7819798588752747,0.08991284668445587
109_HM10395_109_HM10395_S122_0012,12,optical_flow,phase_40,24.02948570251465,0.7987750768661499,0.09167568385601044
