baseline,psnr_mean,psnr_std,ssim_like_mean,ssim_like_std,lpips_mean,lpips_std
dir,19.060941776911314,1.9801159353903317,0.6467479903986499,0.1414093925961041,0.1511501370585126,0.04432444648985763
linear,25.29005615773264,5.086973413542168,0.7613426702227563,0.13530975664434677,0.10289317789001118,0.03536748936617279
optflow,23.29009643541915,4.937923181642167,0.7056692636032014,0.14955767076662166,0.11604386426294876,0.04160652543068196
spline,25.203104467917026,5.079264731104023,0.7664088934992149,0.13472823719897517,0.09462294187900984,0.03509720241640523
