baseline,phase,psnr_mean
dir,10,20.803943809451734
dir,20,19.049405837654135
dir,30,18.38941972176645
dir,40,18.00099773877293
linear,10,26.28988949389592
linear,20,24.25913829336383
linear,30,24.280176272999306
linear,40,26.331020570671495
optflow,10,25.31899192739546
optflow,20,23.155642376982303
optflow,30,22.462198294993655
optflow,40,22.22355314230518
spline,10,26.141116021734796
spline,20,24.222362896786066
spline,30,24.250982282903774
spline,40,26.197956670243453
