baseline,slice_num,psnr_mean,ssim_like_mean
dir,12,18.884804067755354,0.6347280364626875
dir,25,19.028955231412233,0.6480716343898818
dir,37,19.269681157441333,0.6574188456512414
linear,12,24.94509095497773,0.752563938856698
linear,25,25.43211984368174,0.7673653632683574
linear,37,25.490225680577883,0.7639828875231055
optflow,12,23.01364329143178,0.6917646995100838
optflow,25,23.389847100713194,0.712444358558025
optflow,37,23.464880632087592,0.7126684424539025
spline,12,24.8514456250446,0.7574443646635001
spline,25,25.351390571832404,0.7723137466412671
spline,37,25.40362555102954,0.7693550143247614
